Vegetables,Boiling Pressure-cooking,,Baking,Microwaving,Griddling,Frying
Artichoke,--- A,---,---,---,---,---
Asparagus,---,---,---,---,---,37.9 ± 2.84bc
Beetroot,---,---,---,---,---,---
Broad bean,"H: Health-,--Nutrition, &",---,---,---,---,---
Broccoli,F--o-od,---,---,---,---,---
Brussels sprout,---,---,---,---,---,---
Cauliflower,---,---,---,---,---,17.5 ± 2.75ab
Carrot,−66.7 ± 15.61y,−79.8 ± 16.35x,−111.1 ± 23.68y,−142.2 ± 26.84y,−191.1 ± 25.06y,−191.2 ± 25.41x
Celery,−37.3 ± 13.81z,−43.1 ± 9.26y,−149.6 ± 20.69x,−167.0 ± 18.43y,−167.2 ± 18.79y,−154.7 ± 18.10y
Eggplant,---,---,---,---,---,---
Garlic,59.1 ± 3.83c,59.3 ± 3.08e,59.4 ± 2.55b,---,35.5 ± 3.96b,58.2 ± 2.02c
Green bean,---,−10.6 ± 4.71z,−57.8 ± 6.99z,−57.2 ± 7.42z,−53.4 ± 6.70z,−53.6 ± 8.33z
Leek,---,35.9 ± 4.40cd,---,---,---,---
Maize,---,23.5 ± 3.15cd,---,35.0 ± 3.20b,---,---
Onion,---,---,---,---,---,---
Pea,---,---,---,6.1 ± 1.43ab,---,---
Pepper,---,---,---,---,---,20.5 ± 3.16ab
Spinach,11.1 ± 1.77ab,---,---,---,---,---
Swiss chard,---,18.6 ± 2.94bc,---,---,---,14.0 ± 3.85ab
Zucchini,28.5 ± 3.11b,39.3 ± 1.68d,---,---,---,---
